"activity","type","Control summary-Main-begin editing","Control summary-Main-finish editing","Control summary-Main-initialize","Control summary-Main-save","Control summary-Main-take original document","Department control parcels-Main-begin editing","Department control parcels-Main-insert document","Department control parcels-Main-performed","Department control parcels-Main-save","Entitlement application-Change-begin editing","Entitlement application-Change-calculate","Entitlement application-Change-decide","Entitlement application-Change-finish editing","Entitlement application-Change-initialize","Entitlement application-Change-insert document","Entitlement application-Change-remove document","Entitlement application-Change-revoke decision","Entitlement application-Change-revoke withdrawal","Entitlement application-Change-withdraw","Entitlement application-Main-begin editing","Entitlement application-Main-calculate","Entitlement application-Main-decide","Entitlement application-Main-finish editing","Entitlement application-Main-initialize","Entitlement application-Main-insert document","Entitlement application-Main-mail valid","Entitlement application-Main-revoke decision","Entitlement application-Main-save","Entitlement application-Objection-approve","Entitlement application-Objection-begin admissibility check","Entitlement application-Objection-begin editing","Entitlement application-Objection-calculate","Entitlement application-Objection-check admissibility","Entitlement application-Objection-decide","Entitlement application-Objection-finish editing","Entitlement application-Objection-initialize","Entitlement application-Objection-insert document","Geo parcel document-Declared-begin editing","Geo parcel document-Declared-calculate","Geo parcel document-Declared-create","Geo parcel document-Declared-finish editing","Geo parcel document-Declared-finish pre-check","Geo parcel document-Declared-restart editing","Geo parcel document-Main-calculate protocol","Geo parcel document-Main-clear","Geo parcel document-Main-initialize","Geo parcel document-Main-insert document","Geo parcel document-Main-save","Geo parcel document-Reported-begin editing","Geo parcel document-Reported-calculate","Geo parcel document-Reported-finish editing","Geo parcel document-Reported-insert document","Inspection-On-Site-begin editing","Inspection-On-Site-begin preparations","Inspection-On-Site-cancel offline","Inspection-On-Site-finish editing","Inspection-On-Site-finish preparations","Inspection-On-Site-initialize","Inspection-On-Site-performed","Inspection-On-Site-performed offline","Inspection-On-Site-plan","Inspection-On-Site-prepare offline","Inspection-On-Site-save","Inspection-Remote-abort external","Inspection-Remote-begin editing","Inspection-Remote-begin preparations","Inspection-Remote-finish editing","Inspection-Remote-finish preparations","Inspection-Remote-initialize","Inspection-Remote-performed","Inspection-Remote-plan","Inspection-Remote-prepare external","Inspection-Remote-save","Parcel document-Main-begin editing","Parcel document-Main-check","Parcel document-Main-discard","Parcel document-Main-finish editing","Parcel document-Main-initialize","Parcel document-Main-insert document","Parcel document-Main-save","Payment application-Application-abort payment","Payment application-Application-begin editing","Payment application-Application-begin payment","Payment application-Application-calculate","Payment application-Application-decide","Payment application-Application-finish editing","Payment application-Application-finish payment","Payment application-Application-initialize","Payment application-Application-insert document","Payment application-Application-mail income","Payment application-Application-mail valid","Payment application-Application-remove document","Payment application-Application-revoke decision","Payment application-Change-abort payment","Payment application-Change-begin editing","Payment application-Change-begin payment","Payment application-Change-calculate","Payment application-Change-decide","Payment application-Change-finish editing","Payment application-Change-finish payment","Payment application-Change-initialize","Payment application-Change-insert document","Payment application-Main-insert document","Payment application-Main-remove document","Payment application-Main-save","Payment application-Objection-abort payment","Payment application-Objection-approve","Payment application-Objection-begin admissibility check","Payment application-Objection-begin editing","Payment application-Objection-begin editing from refused","Payment application-Objection-begin payment","Payment application-Objection-calculate","Payment application-Objection-check admissibility","Payment application-Objection-decide","Payment application-Objection-finish editing","Payment application-Objection-finish payment","Payment application-Objection-initialize","Payment application-Objection-insert document","Payment application-Objection-refuse","Reference alignment-Main-initialize","Reference alignment-Main-insert document","Reference alignment-Main-performed","Reference alignment-Main-remove document","Reference alignment-Main-save"
"Department control parcels-Main-begin editing","EFR_N","98","98","98","106","0","74","4","98","112","24","40","13","11","24","44","12","1","0","4","54","107","47","72","4","4","118","1","26","2","2","2","6","2","5","3","1","5","20","17","68","34","4","1","2","0","43","8","42","4","0","0","0","0","5","0","6","5","2","3","3","2","2","38","28","4","36","5","36","8","1","8","36","4","55","11","2","36","55","2","39","66","39","136","296","112","127","71","20","39","98","98","1","43","3","27","12","44","9","9","9","27","11","42","17","32","2","4","8","4","0","6","8","9","4","4","4","1","4","0","98","14","98","0","62"
"Department control parcels-Main-begin editing","EFR_S","<","<","<","||","","@","<","<","||","||","||","||","||","||","||",">",">","",">","||","||","||","||","||",">","<","<","||","||","||","||","||","||","||","||","||","||","||","||","<","||","||","||",">","","<","||","||","||","","","","","||","","||","||","||","||","||","||","||","||","<",">","<","||","<","<","||","<","<","||","<","||","<","||","<","||","||","||","||","||","||","||","||","||","||","||","<","<",">","||",">","||","||","||","||","||","||","||","||","||","||","||",">","||","||","||","","||","||","||","||","||","||","||","||","","<","||","<","","||"
"Department control parcels-Main-insert document","EFR_N","2","2","2","6","0","4","0","2","5","0","0","0","0","0","0","0","0","0","0","5","6","1","5","1","0","2","0","0","0","0","0","0","0","0","0","0","0","2","1","1","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","6","1","1","6","2","1","4","12","4","4","2","1","1","2","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0"
"Department control parcels-Main-insert document","EFR_S","<","<","<","||","",">","","<",">","","","","","","","","","","",">",">",">",">",">","","<","","","","","","","","","","","","<","<","<","<","","","","","<","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","||","","||","<","<","||",">","||",">","||",">",">",">","||",">","<","<","",">","","","","","","","","","","","","","","","","","","","","","","","","","","","<","","<","",""
"Department control parcels-Main-performed","EFR_N","269","269","269","181","1","98","2","0","71","27","43","20","17","26","54","10","1","1","2","529","648","144","539","130","6","276","1","46","3","3","3","6","3","4","3","3","5","67","81","1","118","12","11","2","0","135","22","133","17","0","0","0","3","16","0","19","16","5","6","9","5","9","306","44","5","57","15","57","13","10","13","57","24","134","41","1","158","134","27","149","285","643","554","1812","467","852","269","255","141","269","269","2","196","6","46","23","67","20","17","17","46","18","65","22","37","3","3","8","6","1","7","15","8","7","7","4","4","4","1","269","36","269","1","283"
"Department control parcels-Main-performed","EFR_S","<","<","<","||","<",">",">","",">",">",">",">",">",">",">",">",">",">",">","||","||",">",">","||",">","<",">",">",">",">",">",">",">",">",">",">",">","||","||","||","||",">",">",">","","<","||","||",">","","","","||","||","","||","||","||","||","||","||","||","||","<","||","<","||","<","<","||","<","<","||","<","||","<","||","<","||","||",">","||",">","||",">",">",">","||",">","<","<",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">","<","||","<",">","||"
"Department control parcels-Main-save","EFR_N","71","71","71","113","0","48","5","71","42","26","43","14","12","26","50","15","1","0","2","47","58","31","53","3","2","88","1","26","2","2","2","6","2","5","3","1","5","6","13","46","10","8","1","2","0","29","6","22","4","0","0","0","0","4","0","4","4","2","3","1","2","1","23","18","4","24","5","24","6","1","6","24","4","42","17","5","45","42","2","48","48","21","96","160","80","88","49","9","28","71","71","1","33","3","25","12","39","9","9","9","25","10","39","16","29","2","4","8","4","0","6","8","9","4","4","4","1","4","0","71","15","71","0","47"
"Department control parcels-Main-save","EFR_S","<","<","<","||","","||","<","<","@","||","||","||","||","||","||",">",">","",">","||","||","||","||","||",">","<","<","||","||","||","||","||","||","||","||","||","||","||","||","<","||","||","||",">","","<","||","||","||","","","","","||","","||","||","||",">","||","||","||","||","<",">","<","||","<","<","||","<","<","||","<","||","<","||","<","||","||","||","||","||","||","||","||","||","||","||","<","<",">","||",">","||","||","||","||","||","||","||","||","||","||","||",">","||","||","||","","||","||","||","||","||","||","||","||","","<","||","<","","||"
"Entitlement application-Change-begin editing","EFR_N","27","27","27","1","0","7","0","27","5","7","51","24","19","6","34","16","2","1","2","116","129","32","116","27","2","54","0","21","2","2","2","2","2","2","2","2","6","6","4","3","12","0","0","0","0","2","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","1","1","3","25","3","9","39","27","1","2","2","2","1","27","1","27","27","0","1","6","25","20","36","16","13","14","25","14","33","14","18","0","1","1","4","1","2","7","1","3","4","2","3","2","1","27","4","27","0","6"
"Entitlement application-Change-begin editing","EFR_S","<","<","<","||","","||","","<","||","@","||","||","||","||","||","||",">",">",">","<","<","<","<","<","<","<","","||","<","<","<","<","<","<","<","<","<","<","<","<","<","","","","","<","","<","","","","","","","","","","","","","","","","","","","","","","","","","","<","||","<","||","<","||","||","<","<","||","||","||","||","||","<","||","<","<","","||",">","||","||","||","||","||","||","||","||","||","||","||","","||","||","||","<","||","||","||","||","||","||","<","||","<","<","||","<","","||"
"Entitlement application-Change-calculate","EFR_N","43","43","43","1","0","9","0","43","5","14","39","40","32","13","59","26","2","2","3","180","206","48","180","43","3","86","0","32","2","2","2","2","2","2","2","2","6","9","5","4","15","0","0","0","0","3","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","1","1","4","40","4","12","62","43","1","2","2","2","1","43","1","43","43","0","1","12","41","39","61","32","25","27","41","27","50","21","26","0","1","1","7","2","3","12","1","5","7","3","4","3","2","43","6","43","0","8"
"Entitlement application-Change-calculate","EFR_S","<","<","<","||","","||","","<","||","||","@","||","||","||","||","||","||",">",">","<","<","<","<","<","<","<","","||","<","<","<","<","<","<","<","<","<","<","<","<","<","","","","","<","","<","","","","","","","","","","","","","","","","","","","","","","","","","","<","||","<","||","<","||","||","<","<","||","||","||","||","||","<","||","<","<","","||",">","||","||","||","||","||","||","||","||","||","||","||","","||","||","||","<","||","||","||","||","||","||","<","||","<","<","||","<","","||"
"Entitlement application-Change-decide","EFR_N","20","20","20","40","0","5","0","20","3","6","9","11","4","5","29","5","3","0","0","84","93","20","84","20","0","40","0","15","1","1","1","1","1","1","1","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","1","0","2","20","1","4","30","20","50","85","30","30","20","20","0","20","20","0","10","6","13","20","23","16","14","14","13","14","15","4","9","0","1","1","1","0","1","2","1","1","1","1","1","1","0","20","2","20","0","2"
"Entitlement application-Change-decide","EFR_S","<","<","<","<","","||","","<","||","||","||","@","||","||","||",">","||","","","<","<","<","<","<","","<","","||","<","<","<","<","<","<","<","<","<","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","||","","||","<","||","||","<","<","<","<","<","<","<","<","","<","<","","<",">","||",">","||",">",">",">","||",">","||","||","||","",">",">",">","",">",">",">",">",">",">","<",">","","<","||","<","","||"
"Entitlement application-Change-finish editing","EFR_N","17","17","17","39","0","5","0","17","3","6","8","26","3","5","25","5","2","0","0","72","78","17","72","17","0","34","0","13","1","1","1","1","1","1","1","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","1","0","2","17","1","4","25","17","42","73","26","26","17","17","0","17","17","0","9","6","15","19","25","14","13","13","15","13","18","5","10","0","1","1","1","0","1","2","1","1","1","1","1","1","0","17","2","17","0","2"
"Entitlement application-Change-finish editing","EFR_S","<","<","<","<","","||","","<","||","||","||","||","@","||","||",">","||","","","<","<","<","<","<","","<","","||","<","<","<","<","<","<","<","<","<","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","||","","||","<","||","||","<","<","<","<","<","<","<","<","","<","<","","<",">","||",">","||",">",">",">","||",">","||","||","||","",">",">",">","",">",">",">",">",">",">","<",">","","<","||","<","","||"
"Entitlement application-Change-initialize","EFR_N","26","26","26","1","0","6","0","26","4","33","49","20","17","6","33","16","1","1","2","112","125","31","112","26","2","52","0","20","2","2","2","2","2","2","2","2","6","6","4","3","12","0","0","0","0","2","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","1","1","3","24","3","9","37","26","1","2","2","2","1","26","1","26","26","0","1","6","25","20","36","16","13","14","25","14","33","14","18","0","1","1","4","1","2","7","1","3","4","2","3","2","1","26","4","26","0","6"
"Entitlement application-Change-initialize","EFR_S","<","<","<","||","","||","","<","||","||","||","||","||","@","||","||",">",">",">","<","<","<","<","<","<","<","","||","<","<","<","<","<","<","<","<","<","<","<","<","<","","","","","<","","<","","","","","","","","","","","","","","","","","","","","","","","","","","<","||","<","||","<","||","||","<","<","||","||","||","||","||","<","||","<","<","","||",">","||","||","||","||","||","||","||","||","||",">","||","","||","||","||","<","||","||","||","||","||","||","<","||","<","<","||","<","","||"
"Entitlement application-Change-insert document","EFR_N","54","54","54","11","0","15","0","54","11","42","60","23","20","41","52","25","1","2","2","1","1","1","1","54","1","108","0","50","3","3","3","6","3","4","3","8","5","6","4","3","12","0","0","0","0","2","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52","7","2","18","52","5","30","76","54","2","4","4","4","2","54","3","54","54","0","2","12","43","41","62","30","24","29","43","29","62","25","45","3","6","10","12","2","11","23","10","11","12","8","3","8","2","54","7","54","0","28"
"Entitlement application-Change-insert document","EFR_S","<","<","<","||","","||","","<","||","||","||","||","||","||","@","||","||","||","||","||","||","||","||","<","||","<","","||","||","||","||","||","||","||","||","<","||","<","<","<","<","","","","","<","","<","","","","","","","","","","","","","","","","","","","","","","","","","","<","||","<","||","<","||","||","<","<","||","||","||","||","||","<","||","<","<","","||",">","||","||","||","||","||","||","||","||","||","||","||",">","||","||","||","<","||","||","||","||","||","||","||","||","<","<","||","<","","||"
"Entitlement application-Change-remove document","EFR_N","10","10","10","40","0","12","0","10","15","1","1","5","5","1","7","1","0","1","1","43","49","10","43","10","1","20","0","6","1","1","1","1","1","1","1","1","3","3","1","1","3","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","12","1","38","9","2","4","16","10","26","60","20","20","10","10","1","10","10","0","10","0","7","1","7","2","5","1","7","1","11","7","7","0","1","2","3","1","1","5","2","2","3","1","2","1","1","10","10","10","0","38"
"Entitlement application-Change-remove document","EFR_S","<","<","<","<","","<","","<","<","||","||","<","<","||","||","@","","<","<","<","<","<","<","<","<","<","","||","<","<","<","<","<","<","<","<","<","<","<","<","<","","","","","<","","<","","","","","","","","","","","","","","","","","","","","","","","","","","<","<","<","<","<","||","||","<","<","<","<","<","<","<","<","<","<","<","","<","","||","||","||","||","<","||","||","||","||","||","||","","<","<","||","<","||","||","<","||","||","||","<","||","<","<","<","<","","<"
"Entitlement application-Change-revoke decision","EFR_N","1","1","1","0","0","1","0","1","1","2","1","2","1","1","1","0","0","0","0","4","4","1","4","1","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","3","1","1","3","2","1","3","4","1","1","1","1","0","1","1","0","0","0","1","0","1","0","0","0","1","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","3"
"Entitlement application-Change-revoke decision","EFR_S","<","<","<","","","<","","<","<","<","||","||","||","<","||","","","","","<","<","<","<","<","","<","",">","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","<","","<","<","<","<","<","<","<","<","<","<","<","<","","<","<","","","","<","","<","","","","<","","<","<","<","","","","","","","","","","","","","","","<","","<","","<"
"Entitlement application-Change-revoke withdrawal","EFR_N","1","1","1","2","0","0","0","1","0","1","2","0","0","1","1","1","0","0","1","4","4","1","4","1","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","1","0","0","1","1","2","8","2","2","1","1","0","1","1","0","1","0","1","0","1","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","3"
"Entitlement application-Change-revoke withdrawal","EFR_S","<","<","<","<","","","","<","","<","<","","","<","||",">","","","<","<","<","<","<","<","","<","","||","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","","","<","<","","","<","<","<","<","<","<","<","<","","<","<","","<","","<","","<","","","","<","","<","<","","","","","","","","","","","","","","","","<","","<","","<"
"Entitlement application-Change-withdraw","EFR_N","2","2","2","3","0","4","0","2","2","2","3","0","0","2","2","1","0","1","0","9","10","7","9","2","1","4","0","2","0","0","0","0","0","0","0","0","0","3","3","2","9","0","0","0","0","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","1","0","0","1","2","1","2","2","2","1","2","1","2","2","0","1","0","1","0","1","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","6"
"Entitlement application-Change-withdraw","EFR_S","<","<","<","<","","<","","<","<","<","<","","","<","||",">","",">","","<","<","<","<","<","<","<","","||","","","","","","","","","","<","<","<","<","","","","","<","","<","","","","","","","","","","","","","","","","","","","","","","","","","","<","","","<","<","","","<","<","||","||","||","||","||","<",">","<","<","","||","",">","",">","","","",">","",">",">","","","","","","","","","","","","","","","","<","","<","","<"
"Entitlement application-Main-begin editing","EFR_N","537","537","537","334","2","154","5","8","140","116","180","84","72","112","231","43","4","4","9","845","1523","557","1387","537","14","1074","4","120","12","12","12","21","12","15","12","12","22","1","17","13","5","0","0","0","0","8","0","3","0","0","0","0","1","8","0","11","8","8","8","2","8","28","32","66","4","99","4","99","33","33","33","99","154","529","107","6","361","529","52","360","768","144","1305","1597","792","792","537","134","24","537","537","7","247","27","108","83","157","62","56","56","108","56","157","52","92","11","12","28","24","4","27","60","28","28","28","16","16","16","4","537","66","537","4","374"
"Entitlement application-Main-begin editing","EFR_S","<","<","<","||","<","||","<","||","||",">",">",">",">",">","||",">",">",">",">","@","||","||","||","<",">","<",">","||",">",">",">",">",">",">",">",">",">","||","<","<","||","","","","","<","","||","","","","","||","||","","||","||","||","||","||","||","<","||","<","||","<","||","<","<","<","<","<","<","<","||","<","||","<","||","||",">","||",">","||",">",">",">","||",">","<","<",">",">",">",">",">",">",">",">",">",">",">","||",">","||",">",">",">",">",">",">",">",">",">",">",">",">",">",">","<","||","<","<","||"
"Entitlement application-Main-calculate","EFR_N","658","658","658","395","4","193","6","10","166","129","206","93","78","125","259","49","4","4","10","1046","1346","685","1711","658","32","1316","4","169","15","15","15","27","15","19","15","15","25","3","27","27","15","0","0","0","0","21","0","9","0","0","0","0","1","8","0","11","8","8","8","2","8","40","32","74","4","111","4","111","37","37","37","111","175","637","123","6","455","637","65","455","927","166","1585","2010","968","968","658","148","43","658","658","8","303","27","128","94","189","86","67","67","128","67","196","61","119","16","15","35","27","4","35","68","35","33","31","19","19","19","4","658","77","658","5","460"
